"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"651097518952988672","651095850333171712","27633854","2015-10-05 18:11:59 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@JustStormy Awesome 😀 Any details you could share?","","","",""
"651097382969470976","","","2015-10-05 18:11:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @JustStormy: just had a conversation with an exec committee about a Flipped LMS http://t.co/Wi90ce4Crc","651095850333171712","27633854","2015-10-05 18:05:22 +0000","http://creately.com/diagram/example/if07z6b11,http://creately.com/diagram/example/if07z6b11"
"651080731679059969","","","2015-10-05 17:05:17 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I always learn from student's reflective commentary using the SPUNKI rubric for #SFU CMPT 363 weekly reading. http://t.co/Q929eWIDKV","","","","http://oncourseworkshop.com/life-long-learning/spunki-reading-rubric-engages-students-course-content/"
"650829030850101249","","","2015-10-05 00:25:07 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @miniver: To me the key that distinguishes design from styling or art is that design solves a problem

@yerbasuena @movito","650735143078920193","822441","2015-10-04 18:12:02 +0000",""
"650802600481193985","","","2015-10-04 22:40:05 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Updates to @getgrav course companion: auto GitHub edit links &amp; sidebar now markdown file. http://t.co/I7fZ1cnbn3 https://t.co/5Ezf5aFzpr","","","","http://cmpt-363-153.hibbittsdesign.com/,https://github.com/paulhibbitts/cmpt-363-153-website"
"650708374217080832","","","2015-10-04 16:25:40 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Jisc: .@usborne's classic children's books on #coding are to be reprogrammed for a new generation http://t.co/22uae4gqpy http://t.co/YC…","650699904021606400","18829580","2015-10-04 15:52:01 +0000","http://bit.ly/1M6jesK,http://twitter.com/Jisc/status/650699904021606400/photo/1,http://bit.ly/1M6jesK,http://twitter.com/Jisc/status/650699904021606400/photo/1"
"650433872476307456","","","2015-10-03 22:14:54 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @scottjenson: So many are screaming ""the desktop is DEAD"". Yes mobile is huge, but why must desktop DIE? The world is so much more inter…","650423420790837248","730373","2015-10-03 21:33:22 +0000",""
"650090203856502786","","","2015-10-02 23:29:17 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BenBajarin: Significant year for iOS historically speaking. Potentially future speaking as well. http://t.co/EejWzrjKDa","650089341692198912","14546264","2015-10-02 23:25:51 +0000","http://twitter.com/BenBajarin/status/650089341692198912/photo/1,http://twitter.com/BenBajarin/status/650089341692198912/photo/1"
"650051174968590336","650049634019201024","16847370","2015-10-02 20:54:12 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@btopro Indeed, once you are not faced with a monolithic container for everything so many possibilities open up.","","","",""
"650050753709535232","650049110179868672","16847370","2015-10-02 20:52:31 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@btopro Thanks! I find it important to reduce friction whenever possible for students to interact with me re: chat or feedback.","","","",""
"650049823639404544","","","2015-10-02 20:48:49 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Deploy to Windows Azure Web Sites from Dropbox | Microsoft Azure Blog https://t.co/nOFDZHJMgK via @azure","","","","https://azure.microsoft.com/en-us/blog/new-deploy-to-windows-azure-web-sites-from-dropbox/"
"650048923172605952","","","2015-10-02 20:45:15 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A flipped-LMS approach means no student data needs to be stored in the front-end, so tools like DropBox can be used without FIPPA concerns.👏","","","",""
"650047019164106752","","17000457","2015-10-02 20:37:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Azure Is the response I am seeing with http://t.co/tVzDZALsd9 (PHP flat-file CMS) representative of the ""Shared"" plan? Thanks!","","","","http://cmpt-363-153-demo.azurewebsites.net/"
"650038998983835648","","","2015-10-02 20:05:49 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Exploring DropBox as a simplified GitHub repository with Azure. Website: http://t.co/tVzDZALsd9 Pages folder: https://t.co/AJkejLsZt9","","","","http://cmpt-363-153-demo.azurewebsites.net/,https://www.dropbox.com/sh/wdvoupym42e3wp0/AAD2TQU7oLLV3Vj7bBAJX7ySa?dl=0"
"649990054211776513","","","2015-10-02 16:51:19 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Unsure if ""Flipped-LMS"" is the right term for approach I developed to address #CanvasLMS weaknesses by using @getgrav front-end. Thoughts?","","","",""
